commission_id,order_item_id,seller_id,commission_rate,commission_amount
1,1,203,0.12,29.35
2,2,361,0.12,88.24
3,3,69,0.12,24.67
4,4,321,0.12,67.11
5,5,510,0.12,72.4
6,6,587,0.12,1.44
7,7,588,0.12,24.06
8,8,267,0.12,34.77
9,9,316,0.12,56.85
10,10,506,0.12,132.09
11,11,102,0.12,99.79
12,12,216,0.12,152.72
13,13,589,0.12,127.39
14,14,172,0.12,35.61
15,15,466,0.12,60.0
16,16,173,0.12,133.48
17,17,260,0.12,30.76
18,18,378,0.12,51.27
19,19,339,0.12,12.91
20,20,322,0.12,85.04
21,21,326,0.12,86.69
22,22,306,0.12,161.32
23,23,387,0.12,89.4
24,24,78,0.12,50.4
25,25,568,0.12,165.37
26,26,45,0.12,65.58
27,27,68,0.12,48.22
28,28,484,0.12,118.95
29,29,428,0.12,187.17
30,30,518,0.12,49.81
31,31,210,0.12,50.14
32,32,410,0.12,68.22
33,33,510,0.12,94.43
34,34,340,0.12,23.05
35,35,238,0.12,33.59
36,36,215,0.12,101.77
37,37,98,0.12,207.56
38,38,88,0.12,186.06
39,39,373,0.12,196.89
40,40,165,0.12,70.21
41,41,29,0.12,91.69
42,42,550,0.12,44.81
43,43,385,0.12,124.27
44,44,416,0.12,84.61
45,45,373,0.12,259.32
46,46,93,0.12,17.56
47,47,109,0.12,70.68
48,48,405,0.12,97.38
49,49,364,0.12,33.25
50,50,478,0.12,318.29
51,51,78,0.12,79.05
52,52,297,0.12,49.4
53,53,70,0.12,9.7
54,54,118,0.12,98.84
55,55,403,0.12,251.19
56,56,416,0.12,149.65
57,57,176,0.12,35.04
58,58,245,0.12,59.25
59,59,406,0.12,91.17
60,60,430,0.12,77.93
61,61,512,0.12,49.55
62,62,202,0.12,55.57
63,63,445,0.12,414.93
64,64,130,0.12,197.24
65,65,49,0.12,122.32
66,66,403,0.12,206.13
67,67,85,0.12,256.57
68,68,410,0.12,299.56
69,69,282,0.12,13.15
70,70,203,0.12,5.58
71,71,447,0.12,56.25
72,72,573,0.12,286.1
73,73,286,0.12,64.14
74,74,34,0.12,38.2
75,75,171,0.12,167.52
76,76,442,0.12,41.36
77,77,95,0.12,77.48
78,78,17,0.12,72.3
79,79,73,0.12,133.77
80,80,537,0.12,1.59
81,81,320,0.12,180.24
82,82,7,0.12,387.48
83,83,483,0.12,239.66
84,84,522,0.12,212.31
85,85,77,0.12,414.22
86,86,487,0.12,171.04
87,87,293,0.12,118.53
88,88,331,0.12,8.86
89,89,427,0.12,16.81
90,90,214,0.12,158.8
91,91,202,0.12,51.06
92,92,515,0.12,162.06
93,93,432,0.12,23.23
94,94,277,0.12,258.16
95,95,207,0.12,234.03
96,96,585,0.12,301.89
97,97,401,0.12,157.55
98,98,525,0.12,20.77
99,99,143,0.12,182.65
100,100,375,0.12,311.35
101,101,571,0.12,286.79
102,102,180,0.12,14.8
103,103,233,0.12,273.68
104,104,469,0.12,301.65
105,105,257,0.12,146.71
106,106,291,0.12,46.95
107,107,565,0.12,19.8
108,108,510,0.12,121.32
109,109,381,0.12,2.14
110,110,212,0.12,62.64
111,111,178,0.12,87.58
112,112,176,0.12,26.86
113,113,63,0.12,79.77
114,114,286,0.12,237.74
115,115,265,0.12,267.55
116,116,318,0.12,83.7
117,117,13,0.12,100.68
118,118,253,0.12,312.47
119,119,160,0.12,31.61
120,120,435,0.12,269.13
121,121,344,0.12,91.17
122,122,379,0.12,5.72
123,123,473,0.12,260.96
124,124,53,0.12,134.11
125,125,352,0.12,72.95
126,126,361,0.12,152.0
127,127,401,0.12,49.11
128,128,14,0.12,45.45
129,129,546,0.12,263.02
130,130,484,0.12,68.69
131,131,449,0.12,152.76
132,132,67,0.12,60.86
133,133,228,0.12,200.68
134,134,540,0.12,56.99
135,135,586,0.12,4.96
136,136,273,0.12,132.76
137,137,510,0.12,6.28
138,138,272,0.12,67.0
139,139,237,0.12,80.53
140,140,342,0.12,73.38
141,141,492,0.12,16.95
142,142,488,0.12,34.27
143,143,454,0.12,306.04
144,144,112,0.12,26.08
145,145,262,0.12,178.18
146,146,139,0.12,20.63
147,147,583,0.12,7.78
148,148,130,0.12,42.97
149,149,395,0.12,221.05
150,150,409,0.12,202.44
151,151,62,0.12,369.52
152,152,133,0.12,241.39
153,153,302,0.12,298.43
154,154,412,0.12,154.16
155,155,77,0.12,254.13
156,156,297,0.12,146.89
157,157,235,0.12,293.19
158,158,354,0.12,40.14
