order_item_id,order_id,product_id,seller_id,quantity,unit_price,line_total
1,1,6361,203,4,61.15,244.6
2,1,9535,361,2,367.65,735.3
3,2,7955,69,1,205.57,205.57
4,3,11305,321,3,186.41,559.23
5,3,7858,510,1,603.3,603.3
6,4,11815,587,1,12.03,12.03
7,4,2830,588,1,200.46,200.46
8,4,3411,267,2,144.86,289.72
9,5,7375,316,1,473.76,473.76
10,6,11964,506,3,366.91,1100.73
11,6,3156,102,1,831.61,831.61
12,6,11368,216,4,318.17,1272.68
13,7,5190,589,2,530.79,1061.58
14,8,11168,172,1,296.79,296.79
15,8,9477,466,4,125.0,500.0
16,8,3479,173,4,278.09,1112.36
17,9,1531,260,2,128.18,256.36
18,9,8171,378,1,427.29,427.29
19,9,11361,339,1,107.61,107.61
20,10,11158,322,3,236.23,708.69
21,11,10622,326,1,722.43,722.43
22,12,8763,306,3,448.11,1344.33
23,12,6562,387,1,744.96,744.96
24,13,3450,78,2,210.02,420.04
25,13,7737,568,2,689.05,1378.1
26,14,9838,45,1,546.48,546.48
27,15,4389,68,1,401.8,401.8
28,15,8664,484,4,247.81,991.24
29,16,7581,428,4,389.94,1559.76
30,16,7752,518,3,138.37,415.11
31,17,9079,210,1,417.82,417.82
32,18,10751,410,3,189.49,568.47
33,19,11525,510,1,786.93,786.93
34,19,11149,340,4,48.02,192.08
35,19,1079,238,1,279.93,279.93
36,20,11153,215,2,424.06,848.12
37,20,1975,98,2,864.85,1729.7
38,20,9143,88,2,775.26,1550.52
39,21,4562,373,3,546.92,1640.76
40,21,7440,165,3,195.04,585.12
41,22,5086,29,1,764.1,764.1
42,22,4936,550,3,124.47,373.41
43,22,5384,385,2,517.79,1035.58
44,23,9608,416,2,352.53,705.06
45,23,1525,373,4,540.24,2160.96
46,23,4207,93,1,146.34,146.34
47,24,4421,109,2,294.49,588.98
48,25,10865,405,1,811.51,811.51
49,25,6498,364,2,138.56,277.12
50,26,10445,478,3,884.15,2652.45
51,26,2414,78,1,658.74,658.74
52,27,7678,297,2,205.83,411.66
53,27,7232,70,1,80.87,80.87
54,28,433,118,2,411.84,823.68
55,28,3952,403,3,697.74,2093.22
56,28,10020,416,4,311.78,1247.12
57,29,3476,176,1,291.96,291.96
58,29,9227,245,1,493.78,493.78
59,30,8471,406,1,759.78,759.78
60,31,7249,430,2,324.71,649.42
61,32,179,512,1,412.92,412.92
62,32,5952,202,4,115.78,463.12
63,33,6792,445,4,864.44,3457.76
64,33,2181,130,3,547.88,1643.64
65,34,6434,49,4,254.83,1019.32
66,34,2656,403,2,858.86,1717.72
67,34,11058,85,3,712.7,2138.1
68,35,5941,410,3,832.1,2496.3
69,35,6710,282,1,109.62,109.62
70,36,3336,203,1,46.54,46.54
71,36,10653,447,1,468.74,468.74
72,37,8915,573,3,794.73,2384.19
73,38,2050,286,2,267.26,534.52
74,39,8238,34,1,318.33,318.33
75,39,4865,171,2,697.99,1395.98
76,39,9173,442,1,344.67,344.67
77,40,917,95,2,322.85,645.7
78,41,11670,17,1,602.51,602.51
79,42,6678,73,4,278.69,1114.76
80,42,9702,537,1,13.29,13.29
81,43,8971,320,2,751.01,1502.02
82,43,2604,7,4,807.25,3229.0
83,43,9056,483,4,499.3,1997.2
84,44,118,522,4,442.31,1769.24
85,44,9804,77,4,862.95,3451.8
86,44,10867,487,2,712.65,1425.3
