order_id,customer_id,order_date,order_status,payment_method,total_amount
1,2181,2024-12-01 00:00:00,delivered,cod,979.9
2,2817,2024-02-17 00:00:00,delivered,card,205.57
3,6143,2023-10-07 00:00:00,placed,netbanking,1162.53
4,5178,2025-06-29 00:00:00,delivered,netbanking,502.21
5,1515,2024-08-22 00:00:00,returned,upi,473.76
6,3297,2025-02-27 00:00:00,delivered,upi,3205.02
7,5136,2023-11-24 00:00:00,cancelled,card,1061.58
8,7853,2026-06-10 00:00:00,delivered,card,1909.15
9,3515,2024-06-09 00:00:00,shipped,card,791.26
10,638,2023-03-24 00:00:00,delivered,card,708.69
11,3215,2023-03-15 00:00:00,placed,netbanking,722.43
12,2551,2026-04-13 00:00:00,delivered,cod,2089.29
13,171,2024-02-15 00:00:00,delivered,wallet,1798.14
14,3764,2025-12-20 00:00:00,delivered,wallet,546.48
15,1365,2024-11-28 00:00:00,delivered,upi,1393.04
16,6333,2025-04-18 00:00:00,delivered,cod,1974.87
17,2555,2024-03-12 00:00:00,delivered,wallet,417.82
18,2100,2025-05-17 00:00:00,delivered,card,568.47
19,2806,2024-04-29 00:00:00,delivered,netbanking,1258.94
20,5957,2025-11-09 00:00:00,delivered,cod,4128.34
21,1749,2024-06-29 00:00:00,delivered,wallet,2225.88
22,4303,2024-12-28 00:00:00,delivered,cod,2173.09
23,968,2025-01-23 00:00:00,delivered,wallet,3012.36
24,3930,2023-05-12 00:00:00,delivered,wallet,588.98
25,7402,2025-12-31 00:00:00,shipped,cod,1088.63
26,1734,2026-05-16 00:00:00,delivered,netbanking,3311.19
27,6849,2024-03-01 00:00:00,delivered,card,492.53
28,7732,2026-06-24 00:00:00,returned,cod,4164.02
29,4582,2025-03-20 00:00:00,delivered,cod,785.74
30,6233,2026-04-07 00:00:00,returned,wallet,759.78
31,4179,2024-03-07 00:00:00,cancelled,netbanking,649.42
32,5099,2025-10-21 00:00:00,delivered,netbanking,876.04
33,4174,2023-09-01 00:00:00,delivered,card,5101.4
34,3239,2025-04-13 00:00:00,delivered,cod,4875.14
35,1885,2025-11-01 00:00:00,delivered,netbanking,2605.92
36,5812,2024-07-03 00:00:00,delivered,cod,515.28
37,2426,2024-06-15 00:00:00,delivered,upi,2384.19
38,2634,2024-10-26 00:00:00,delivered,card,534.52
39,1146,2023-05-31 00:00:00,cancelled,wallet,2058.98
40,1050,2023-04-20 00:00:00,returned,wallet,645.7
41,195,2026-03-04 00:00:00,delivered,upi,602.51
42,1352,2024-09-24 00:00:00,cancelled,cod,1128.05
43,6719,2025-04-07 00:00:00,cancelled,upi,6728.22
44,3674,2024-08-15 00:00:00,shipped,card,6646.34
45,2685,2024-08-24 00:00:00,delivered,cod,987.72
46,4844,2023-02-07 00:00:00,delivered,upi,73.8
47,2724,2024-01-22 00:00:00,shipped,upi,1463.38
48,5971,2024-06-13 00:00:00,delivered,wallet,425.53
49,3492,2025-08-31 00:00:00,delivered,cod,1544.06
50,2195,2025-11-20 00:00:00,delivered,card,2151.3
51,7453,2024-11-07 00:00:00,returned,cod,1950.24
52,3072,2024-10-17 00:00:00,returned,upi,2515.77
53,7203,2024-12-21 00:00:00,delivered,upi,1486.01
54,2889,2025-12-06 00:00:00,delivered,cod,1522.08
55,1219,2026-02-21 00:00:00,delivered,wallet,5107.83
56,803,2023-03-05 00:00:00,delivered,netbanking,6017.0
57,263,2024-10-05 00:00:00,delivered,upi,1567.34
58,5347,2025-06-30 00:00:00,placed,upi,539.77
59,370,2024-12-16 00:00:00,shipped,wallet,953.6
60,3881,2026-02-22 00:00:00,delivered,card,664.71
61,4799,2023-07-25 00:00:00,returned,wallet,1981.14
62,1399,2024-08-29 00:00:00,delivered,cod,3766.11
63,4092,2023-08-02 00:00:00,delivered,wallet,5110.1
64,5720,2025-03-31 00:00:00,delivered,upi,759.75
65,7660,2024-02-13 00:00:00,delivered,wallet,47.64
66,3261,2026-02-09 00:00:00,delivered,card,3292.22
67,1883,2023-01-24 00:00:00,delivered,wallet,1874.58
68,840,2024-10-05 00:00:00,delivered,wallet,409.29
69,1136,2025-08-14 00:00:00,cancelled,cod,2570.58
70,2754,2024-05-10 00:00:00,delivered,netbanking,1845.36
71,1688,2025-06-26 00:00:00,shipped,netbanking,507.19
72,5350,2023-08-21 00:00:00,shipped,cod,2188.61
73,7419,2025-10-09 00:00:00,shipped,wallet,1158.66
74,3333,2024-05-22 00:00:00,delivered,upi,558.31
75,83,2023-09-09 00:00:00,cancelled,card,671.08
76,5683,2023-08-29 00:00:00,delivered,wallet,1038.35
77,6075,2023-09-22 00:00:00,placed,card,4252.47
78,5625,2025-08-30 00:00:00,delivered,card,594.83
79,1416,2024-06-11 00:00:00,delivered,wallet,1842.08
80,6141,2023-01-18 00:00:00,delivered,card,6777.88
81,3676,2024-07-05 00:00:00,delivered,cod,5889.33
82,5562,2025-08-03 00:00:00,shipped,upi,3667.29
83,3265,2025-04-10 00:00:00,delivered,upi,334.54
84,4684,2025-07-29 00:00:00,shipped,upi,2689.93
85,7717,2024-05-08 00:00:00,delivered,netbanking,5648.47
86,4497,2023-12-20 00:00:00,delivered,card,4147.76
87,7835,2023-10-11 00:00:00,delivered,netbanking,338.44
88,4240,2024-02-14 00:00:00,delivered,upi,1581.16
89,5609,2024-08-23 00:00:00,delivered,cod,3268.97
90,2837,2024-04-25 00:00:00,cancelled,wallet,561.89
91,6853,2025-06-02 00:00:00,placed,wallet,258.24
92,94,2023-02-03 00:00:00,placed,upi,3824.46
93,5128,2024-07-03 00:00:00,delivered,netbanking,130.5
94,1223,2024-01-06 00:00:00,returned,card,24.42
95,3267,2026-06-30 00:00:00,placed,netbanking,3282.06
96,4055,2023-10-22 00:00:00,delivered,netbanking,742.42
97,7362,2025-03-13 00:00:00,delivered,wallet,68.5
98,2084,2026-01-17 00:00:00,delivered,wallet,1912.18
99,1759,2024-01-28 00:00:00,shipped,wallet,4224.71
100,372,2025-11-07 00:00:00,delivered,wallet,776.32
101,5269,2024-04-09 00:00:00,delivered,netbanking,3619.41
102,6762,2024-09-10 00:00:00,delivered,upi,497.37
103,5853,2023-04-16 00:00:00,cancelled,wallet,2493.38
104,1355,2023-12-25 00:00:00,delivered,wallet,2162.75
105,4220,2025-01-16 00:00:00,delivered,wallet,1894.53
106,6936,2024-03-31 00:00:00,shipped,card,871.97
107,6806,2026-02-01 00:00:00,delivered,cod,2724.68
108,6230,2025-01-14 00:00:00,returned,netbanking,6456.38
109,6886,2024-04-24 00:00:00,delivered,netbanking,182.04
110,4087,2026-04-22 00:00:00,returned,upi,1408.95
111,6401,2023-04-25 00:00:00,delivered,wallet,2643.18
112,3796,2025-12-10 00:00:00,shipped,card,2501.2
113,2293,2026-01-12 00:00:00,placed,wallet,2453.02
114,2685,2025-05-23 00:00:00,shipped,cod,3349.38
115,6973,2023-02-16 00:00:00,shipped,cod,2469.41
116,3725,2025-07-30 00:00:00,cancelled,cod,734.35
117,354,2025-05-07 00:00:00,delivered,netbanking,1228.33
118,7776,2023-09-12 00:00:00,delivered,cod,1812.76
119,6637,2023-12-06 00:00:00,returned,wallet,587.18
120,7536,2023-01-20 00:00:00,delivered,upi,1130.36
121,6385,2024-10-17 00:00:00,delivered,card,852.64
122,449,2024-04-15 00:00:00,delivered,card,35.88
123,1686,2023-08-04 00:00:00,delivered,upi,3983.51
124,6521,2023-03-01 00:00:00,delivered,netbanking,4945.7
125,4630,2026-03-05 00:00:00,delivered,upi,1461.69
126,5095,2026-04-24 00:00:00,shipped,wallet,2062.24
127,1726,2026-03-29 00:00:00,shipped,card,3215.83
128,6804,2025-07-31 00:00:00,delivered,upi,756.86
129,6977,2025-03-04 00:00:00,delivered,wallet,1980.75
130,3832,2025-02-16 00:00:00,delivered,wallet,1180.17
131,4471,2024-12-19 00:00:00,shipped,card,4226.66
132,6376,2023-12-25 00:00:00,delivered,cod,13.49
133,4130,2023-04-06 00:00:00,delivered,upi,2048.36
134,136,2023-09-26 00:00:00,delivered,cod,2481.99
135,1297,2023-08-23 00:00:00,delivered,upi,612.08
136,566,2023-09-04 00:00:00,delivered,upi,4403.88
