return_id,order_item_id,return_reason,return_date,refund_amount
1,95169,Arrived damaged,2024-12-09,216.04
2,34858,Item defective,2024-04-29,473.64
3,89083,Arrived damaged,2024-12-27,479.02
4,7544,Wrong size,2024-02-16,240.39
5,8444,Wrong size,2025-04-05,150.68
6,45122,Arrived damaged,2026-02-16,316.2
7,73992,Not as described,2024-01-12,442.36
8,82892,Item defective,2023-01-30,298.57
9,79777,Wrong size,2025-11-21,174.18
10,82192,Item defective,2024-02-17,384.36
11,86013,Changed my mind,2024-06-28,92.07
12,94087,Arrived damaged,2024-01-15,324.8
13,11452,Arrived damaged,2023-02-14,329.82
14,38340,Wrong size,2024-12-28,267.52
15,38645,Arrived damaged,2023-02-18,438.11
16,22227,Arrived damaged,2025-02-14,130.84
17,79365,Changed my mind,2024-11-08,211.29
18,60478,Wrong size,2025-05-29,263.26
19,49067,Wrong size,2023-12-11,424.93
20,79135,Not as described,2023-10-05,380.13
21,22738,Not as described,2023-07-17,116.38
22,38285,Changed my mind,2026-06-07,454.1
23,29373,Changed my mind,2025-10-12,277.74
24,79679,Not as described,2025-03-26,188.7
25,88281,Arrived damaged,2025-02-13,310.22
26,91475,Arrived damaged,2026-01-18,342.76
27,66028,Wrong size,2026-01-10,426.33
28,70900,Not as described,2023-09-26,155.14
29,35187,Not as described,2026-05-24,360.38
30,39383,Not as described,2024-01-03,499.17
31,3562,Changed my mind,2023-07-08,380.97
32,8958,Wrong size,2025-01-22,204.35
33,79203,Wrong size,2024-09-09,410.25
34,69583,Not as described,2025-09-13,58.33
35,10340,Item defective,2025-11-16,405.87
36,62392,Changed my mind,2024-11-17,396.96
37,50553,Not as described,2023-04-03,250.44
38,55922,Not as described,2026-03-05,216.01
39,32260,Arrived damaged,2023-11-09,480.37
40,693,Not as described,2023-02-25,478.38
41,73903,Not as described,2026-02-22,152.07
42,30509,Arrived damaged,2025-05-20,17.24
43,71578,Not as described,2026-03-21,310.97
44,26062,Wrong size,2026-01-27,75.37
45,93427,Item defective,2023-04-20,139.33
46,51756,Arrived damaged,2023-11-22,409.16
47,88666,Item defective,2023-06-22,18.84
48,57428,Item defective,2023-05-06,251.04
49,94306,Item defective,2025-09-19,164.15
50,84245,Arrived damaged,2026-03-16,216.69
51,98324,Item defective,2024-01-22,163.74
52,92548,Changed my mind,2024-07-08,310.38
53,93976,Wrong size,2023-03-30,332.25
54,58709,Wrong size,2025-10-20,348.08
55,8574,Arrived damaged,2024-10-28,25.84
56,59789,Not as described,2023-11-27,475.13
57,89305,Not as described,2023-01-20,138.79
58,14447,Item defective,2023-04-10,270.2
59,41716,Changed my mind,2026-04-22,392.2
60,93850,Arrived damaged,2024-10-21,364.02
61,41126,Item defective,2023-07-13,216.64
62,72807,Item defective,2024-03-02,183.53
63,51741,Not as described,2025-03-06,305.77
64,57902,Wrong size,2024-08-03,314.83
65,79588,Not as described,2023-06-27,197.32
66,69275,Item defective,2024-06-25,485.48
67,46988,Wrong size,2023-01-20,132.55
68,65893,Not as described,2023-10-15,340.0
69,52382,Changed my mind,2025-01-16,293.21
70,29378,Not as described,2025-11-03,22.28
71,71345,Not as described,2025-02-12,498.75
72,22301,Arrived damaged,2025-12-02,487.96
73,10689,Not as described,2023-07-03,188.68
74,97610,Changed my mind,2024-07-07,372.05
75,20762,Changed my mind,2025-12-02,48.47
