review_id,product_id,customer_id,rating,review_text,review_date
1,5216,7938,3,Exceeded my expectations!,2025-05-08
2,9428,3916,5,Fast shipping and good packaging.,2023-11-27
3,2847,1419,3,Great quality for the price.,2024-08-20
4,9221,2779,1,Exceeded my expectations!,2023-04-01
5,9565,6598,3,Great quality for the price.,2024-02-08
6,6691,7390,1,Works exactly as described.,2024-12-17
7,415,7142,3,Great quality for the price.,2026-06-27
8,11364,810,1,Exceeded my expectations!,2023-10-05
9,11438,1045,3,"Not what I expected, quite disappointed.",2025-08-16
10,6731,3636,2,Customer service was helpful.,2026-02-02
11,8302,5502,3,Excellent value for money.,2024-12-01
12,2526,5522,2,Customer service was helpful.,2023-08-27
13,6935,7187,1,Exceeded my expectations!,2023-06-18
14,11098,5507,3,"Not what I expected, quite disappointed.",2023-06-15
15,4746,4059,2,"Not what I expected, quite disappointed.",2025-05-11
16,5340,5877,4,"Average product, does the job.",2023-02-07
17,8409,3295,3,Exceeded my expectations!,2025-11-10
18,1334,4495,4,"Average product, does the job.",2024-06-19
19,3099,6231,1,"Average product, does the job.",2024-10-28
20,8815,1086,5,Would buy again.,2024-04-25
21,1201,5095,4,Great quality for the price.,2024-01-18
22,636,7147,3,"Not what I expected, quite disappointed.",2025-07-08
23,5771,1012,3,Works exactly as described.,2024-12-24
24,6093,257,4,Fast shipping and good packaging.,2024-05-18
25,9398,1839,2,"Average product, does the job.",2024-01-29
26,6166,2348,3,Exceeded my expectations!,2024-11-04
27,6658,2813,4,Customer service was helpful.,2023-02-14
28,11540,3058,2,Fast shipping and good packaging.,2025-10-10
29,1352,6348,3,Would buy again.,2023-12-31
30,2369,5914,4,Exceeded my expectations!,2025-09-15
31,3318,5550,5,"Not what I expected, quite disappointed.",2026-05-18
32,231,5345,4,"Average product, does the job.",2023-08-10
33,5561,3074,1,Excellent value for money.,2025-11-16
34,2235,6393,5,Great quality for the price.,2024-01-14
35,7950,2700,1,"Not what I expected, quite disappointed.",2026-06-09
36,845,915,5,Great quality for the price.,2023-10-30
37,4986,3646,1,Exceeded my expectations!,2023-06-01
38,5661,5511,4,Customer service was helpful.,2024-11-30
39,7966,3886,4,Item arrived damaged.,2023-12-20
40,3140,2983,5,Great quality for the price.,2024-07-02
41,7740,1417,5,Great quality for the price.,2025-10-18
42,2452,5986,3,Excellent value for money.,2026-03-31
43,4458,133,1,Would buy again.,2025-03-18
44,11408,1388,4,Fast shipping and good packaging.,2026-05-30
45,9510,211,4,"Not what I expected, quite disappointed.",2024-10-25
46,8400,175,1,Works exactly as described.,2023-06-22
47,9005,1819,1,Item arrived damaged.,2024-10-06
48,7430,3313,5,Would buy again.,2024-05-30
49,3972,3872,4,Item arrived damaged.,2024-06-30
50,7884,6207,5,Works exactly as described.,2023-12-21
51,1576,5115,1,Great quality for the price.,2023-10-04
52,970,818,4,Works exactly as described.,2023-05-12
53,3938,1641,1,"Not what I expected, quite disappointed.",2024-04-13
54,11752,538,5,Exceeded my expectations!,2023-02-25
55,4873,7396,4,"Not what I expected, quite disappointed.",2023-11-15
56,5015,2443,4,Fast shipping and good packaging.,2025-12-25
57,3407,4740,5,Great quality for the price.,2023-07-16
58,3600,5553,4,Great quality for the price.,2024-01-10
59,7534,6497,1,"Not what I expected, quite disappointed.",2023-01-08
60,2116,7269,3,Item arrived damaged.,2025-01-09
61,9045,1897,3,Excellent value for money.,2023-04-25
62,9083,1487,5,Exceeded my expectations!,2026-05-28
63,3721,4728,5,Exceeded my expectations!,2023-04-29
64,10639,5386,2,"Average product, does the job.",2025-06-29
65,6215,7573,2,Works exactly as described.,2024-04-22
66,719,4047,2,Excellent value for money.,2025-05-03
67,7565,4541,5,Fast shipping and good packaging.,2023-01-09
68,7003,7969,5,Item arrived damaged.,2026-03-19
69,6721,5071,5,Works exactly as described.,2023-11-06
70,10606,2111,5,"Average product, does the job.",2023-04-26
71,6748,1080,5,Item arrived damaged.,2026-01-12
72,11635,1345,2,Item arrived damaged.,2024-06-05
73,1693,6836,3,Fast shipping and good packaging.,2023-06-02
74,7670,2225,4,"Not what I expected, quite disappointed.",2024-09-22
75,8359,5822,1,Excellent value for money.,2023-12-30
76,11340,649,3,"Average product, does the job.",2025-06-15
77,4830,777,3,Excellent value for money.,2025-01-28
78,7099,5758,1,Fast shipping and good packaging.,2024-04-20
79,6767,5847,4,Item arrived damaged.,2026-01-17
80,3059,3572,1,Works exactly as described.,2025-09-15
81,2,532,5,Exceeded my expectations!,2024-05-29
82,10113,6810,2,Great quality for the price.,2024-05-01
83,6734,2478,4,"Not what I expected, quite disappointed.",2023-06-10
84,8757,3517,1,"Not what I expected, quite disappointed.",2025-08-29
85,3063,91,5,"Not what I expected, quite disappointed.",2025-06-30
86,11662,6425,1,Would buy again.,2024-02-08
87,2583,7064,4,"Not what I expected, quite disappointed.",2023-09-12
88,2070,846,3,Works exactly as described.,2025-11-04
89,636,3145,1,Item arrived damaged.,2025-03-21
90,8027,6047,1,Fast shipping and good packaging.,2023-10-04
91,7355,54,5,Customer service was helpful.,2023-04-29
92,8116,1963,5,Would buy again.,2025-12-17
93,3129,4231,2,Excellent value for money.,2023-03-31
94,3403,6207,5,Exceeded my expectations!,2023-07-08
95,11595,2361,4,Item arrived damaged.,2024-10-25
96,11552,3214,2,Works exactly as described.,2023-06-20
97,10097,5014,3,Would buy again.,2025-04-02
98,7092,6012,4,Excellent value for money.,2023-09-29
99,2873,599,2,Would buy again.,2023-10-15
100,11861,5595,5,Customer service was helpful.,2026-03-28
101,8700,2693,2,Works exactly as described.,2025-08-06
102,8708,1561,2,"Not what I expected, quite disappointed.",2026-02-22
103,11684,6960,3,Great quality for the price.,2026-01-08
104,6413,4313,1,Exceeded my expectations!,2026-05-21
105,63,3305,5,Works exactly as described.,2023-08-22
106,3185,4497,1,Fast shipping and good packaging.,2024-05-28
107,7675,6286,2,Great quality for the price.,2024-01-23
108,10229,4968,2,Great quality for the price.,2025-10-13
109,9680,6050,1,Would buy again.,2025-07-22
110,2365,182,5,Excellent value for money.,2024-09-14
111,9485,5534,2,Excellent value for money.,2024-02-10
112,9976,1445,3,Fast shipping and good packaging.,2023-05-23
113,11338,4064,5,Exceeded my expectations!,2025-10-08
114,2354,1998,1,Would buy again.,2024-02-19
115,6948,3565,1,Exceeded my expectations!,2024-12-20
